id,hoehe,geobreite,geolaenge,stationsname,bundesland
6266,112,52.0304,10.9626,Huy-Pabstorf                        ,Sachsen-Anhalt        
6272,284,50.8426,10.2518,"Salzungen, Bad-Gräfen-Nitzendorf    ",Thüringen             
6336,288,50.0132,9.654,Lohr/Main-Halsbach                  ,Bayern                
6344,168,50.394,8.1423,Runkel-Ennerich                     ,Hessen                
6347,305,50.0579,10.2972,Schonungen-Mainberg                 ,Bayern                
7075,429,48.702,11.8493,Elsendorf-Horneck                   ,Bayern                
7364,74,51.6818,12.3053,Jeßnitz                             ,Sachsen-Anhalt        
7370,499,49.391,12.6838,Waldmünchen                         ,Bayern                
7393,116,51.4492,14.2533,Hoyerswerda                         ,Sachsen               
7427,17,54.0188,9.9255,Padenstedt (Pony-Park)              ,Schleswig-Holstein    
7428,397,50.4167,10.8156,Veilsdorf                           ,Thüringen             
7431,604,48.013,11.5524,Oberhaching-Laufzorn                ,Bayern                
13670,24,51.5088,6.7018,Duisburg-Baerl                      ,Nordrhein-Westfalen   
13675,75,52.0818,9.4077,Hameln-Hastenbeck                   ,Niedersachsen         
13904,3,55.0,6.3333,Nordseeboje 2                       ,Hamburg               
15207,317,51.2835,9.359,Schauenburg-Elgershausen            ,Hessen                
