id,hoehe,geobreite,geolaenge,stationsname,bundesland
01076,692,48.0135, 8.5343,"Dürrheim, Bad                       ",Baden-Württemberg     
01078, 37,51.2960, 6.7686,Düsseldorf                          ,Nordrhein-Westfalen   
01103,592,48.1003,11.9872,Ebersberg-Halbing                   ,Bayern                
01107,346,49.8520,10.4991,Ebrach                              ,Bayern                
01130, 18,54.6282, 9.3649,Eggebek                             ,Schleswig-Holstein    
01161,384,48.8777,11.2349,Eichstätt-Landershofen              ,Bayern                
01197,463,48.9895,10.1312,Ellwangen-Rindelbach                ,Baden-Württemberg     
01200,  3,54.0691, 9.0105,Elpersbüttel                        ,Schleswig-Holstein    
01207,558,50.2705,12.2742,"Elster, Bad-Sohl                    ",Sachsen               
01214,431,48.2012, 8.1088,Elzach-Fisnacht                     ,Baden-Württemberg     
01219,  5,53.3449, 7.1909,Emden-Nesserland                    ,Niedersachsen         
01221,  0,53.3707, 7.2236,Emden-Wolthusen                     ,Niedersachsen         
01224,201,48.1378, 7.8351,Emmendingen-Mundingen               ,Baden-Württemberg     
01228,  0,54.1651, 6.3460,UFS TW Ems                          ,Hamburg               
01239,540,47.8516, 8.7673,Engen/Hegau                         ,Baden-Württemberg     
01246,104,51.8418, 8.0607,Ennigerloh-Ostenfelde               ,Nordrhein-Westfalen   
01255,226,49.1661, 8.8483,Eppingen-Elsenz                     ,Baden-Württemberg     
01262,446,48.3477,11.8134,München-Flughafen                   ,Bayern                
01266, 18,54.2992, 9.3162,Erfde                               ,Schleswig-Holstein    
01270,316,50.9829,10.9608,Erfurt-Weimar                       ,Thüringen             
01279,268,49.6497,11.0075,Möhrendorf-Kleinseebach             ,Bayern                
01281,284,49.5653,10.9729,Erlangen-Frauenaurach               ,Bayern                
01297,156,51.2041,10.0138,Eschwege                            ,Hessen                
01300,351,51.2540, 8.1565,Eslohe                              ,Nordrhein-Westfalen   
01303,150,51.4041, 6.9677,Essen-Bredeney                      ,Nordrhein-Westfalen   
01327,147,50.7119, 6.7905,Weilerswist-Lommersum               ,Nordrhein-Westfalen   
01332,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn            ",Bayern                
01339, 76,52.9157,10.1885,Faßberg                             ,Niedersachsen         
01341,  0,54.6000,11.1500,Fehmarnbelt                         ,Schleswig-Holstein    
01346,486,47.8748, 8.0038,Feldberg/Schwarzwald                ,Baden-Württemberg     
01357,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hüttstadl   ,Bayern                
01358,213,50.4283,12.9536,Fichtelberg                         ,Sachsen               
01411,747,50.5309,10.0479,Birx/Rhön                           ,Thüringen             
01420,100,50.0259, 8.5213,Frankfurt/Main                      ,Hessen                
01421,125,50.1474, 8.6746,Frankfurt/Main (Stadt)              ,Hessen                
01424,121,50.1269, 8.6694,Frankfurt/Main-Westend              ,Hessen                
01425,103,50.1214, 8.6604,Frankfurt/Main (Feldbergstr.)       ,Hessen                
01426, 65,52.3397,14.5080,Frankfurt/Oder                      ,Brandenburg           
01443,237,48.0232, 7.8343,Freiburg                            ,Baden-Württemberg     
01451,  2,53.8277, 9.2493,Freiburg/Elbe                       ,Niedersachsen         
01468,797,48.4538, 8.4090,Freudenstadt                        ,Baden-Württemberg     
01473,414,49.1869,11.3080,Freystadt-Michelbach                ,Bayern                
01490,394,47.6454, 9.4795,Friedrichshafen                     ,Baden-Württemberg     
01503,  6,53.0643, 7.9020,Friesoythe-Altenoythe               ,Niedersachsen         
01504,172,51.1190, 9.2799,Fritzlar/Eder                       ,Hessen                
01515,519,48.2000,11.2667,Fürstenfeldbruck                    ,Bayern                
01526,242,50.5668, 9.6532,Fulda-Horas                         ,Hessen                
01544, 47,52.5129,11.3942,Gardelegen                          ,Sachsen-Anhalt        
01550,719,47.4830,11.0621,Garmisch-Partenkirchen              ,Bayern                
01572, 80,50.9593, 6.0392,Geilenkirchen-Neutevern             ,Nordrhein-Westfalen   
01580,111,49.9859, 7.9548,Geisenheim                          ,Hessen                
01583,823,50.7719,13.7732,Geisingberg                         ,Sachsen               
